current density,magnetic field,fx,fy,fxv2,fyv2,fx_safe,fy_safe,fxv2_safe,fyv2_safe,flaplacex,flaplacey,refinment,is_saturated,elapse_time_total,shapefunction_degree,size multiplicator ,number dof, fx_r,fy_r,fx_safe_r,fy_safe_r,flaplacex_r,flaplacey_r,is alternative current,size,size2,integral_force,integral_force2,is_periodic
2.54444e+06,1.5,-148.493,6.92759e-06,-149.022,6.89402e-06,-137.924,6.4369e-06,-137.95,6.44066e-06,-41.1597,4.42786e-08 ,3,0,10.4312,2,0,46861,148.493,6.92759e-06,66.7023,6.80546e-06,-41.1597,-4.42786e-08,1,0.0015,0.0015,-189.454,189.454,0
2.54444e+06,1.5,-82.9299,1.29648e-05,-83.5001,1.29015e-05,-77.066,1.20496e-05,-77.0304,1.20566e-05,-41.5689,1.04085e-07 ,3,0,10.8233,2,1,50373,82.9299,1.29648e-05,0.36226,1.26933e-05,-41.5689,-1.04085e-07,1,0.0015,0.0015,-111.195,111.195,0
2.54444e+06,1.5,-12.1454,0.000767041,-12.7272,0.000763529,-11.6534,0.000713236,-11.5816,0.000713618,-42.2569,2.81522e-05 ,3,0,10.9232,2,16,51605,12.1454,0.000767041,-71.7867,0.000707224,-42.2569,-2.81522e-05,1,0.0015,0.0015,-28.2173,28.2173,0
2.37481e+06,1.5,-147.925,6.92412e-06,-148.415,6.89052e-06,-137.372,6.43365e-06,-137.402,6.43741e-06,-38.4149,4.13104e-08 ,3,0,9.20205,2,0,46861,147.925,6.92411e-06,71.5849,6.80789e-06,-38.4149,-4.13104e-08,1,0.0015,0.0015,-187.786,187.786,0
2.37481e+06,1.5,-82.3008,1.29567e-05,-82.8321,1.28933e-05,-76.4566,1.2042e-05,-76.4257,1.2049e-05,-38.797,9.70994e-08 ,3,0,10.1147,2,1,50373,82.3008,1.29567e-05,5.23816,1.26992e-05,-38.797,-9.70994e-08,1,0.0015,0.0015,-109.481,109.481,0
2.37481e+06,1.5,-11.4151,0.000765026,-11.9581,0.000761495,-10.9496,0.000711345,-10.8826,0.00071173,-39.4397,2.6223e-05 ,3,0,10.233,2,16,51605,11.4151,0.000765026,-66.9212,0.000709049,-39.4397,-2.6223e-05,1,0.0015,0.0015,-26.4274,26.4274,0
2.20518e+06,1.5,-147.357,6.92064e-06,-147.808,6.88702e-06,-136.819,6.43038e-06,-136.854,6.43415e-06,-35.6702,3.83446e-08 ,3,0,10.6051,2,0,46861,147.357,6.92062e-06,76.4674,6.81031e-06,-35.6702,-3.83446e-08,1,0.0015,0.0015,-186.118,186.118,0
2.20518e+06,1.5,-81.6719,1.29487e-05,-82.1644,1.28852e-05,-75.8472,1.20345e-05,-75.8211,1.20415e-05,-36.0252,9.01202e-08 ,3,0,10.3143,2,1,50373,81.6719,1.29487e-05,10.114,1.2705e-05,-36.0252,-9.01202e-08,1,0.0015,0.0015,-107.768,107.768,0
2.20518e+06,1.5,-10.6848,0.000763012,-11.189,0.000759463,-10.2458,0.000709457,-10.1837,0.000709844,-36.6224,2.43013e-05 ,3,0,10.0697,2,16,51605,10.6848,0.000763012,-62.0558,0.00071086,-36.6224,-2.43013e-05,1,0.0015,0.0015,-24.6375,24.6375,0
2.03555e+06,1.5,-146.789,6.91715e-06,-147.201,6.8835e-06,-136.267,6.42712e-06,-136.306,6.43089e-06,-32.9257,3.53811e-08 ,3,0,8.24961,2,0,46861,146.789,6.91715e-06,81.3498,6.81274e-06,-32.9257,-3.53811e-08,1,0.0015,0.0015,-184.45,184.45,0
2.03555e+06,1.5,-81.0431,1.29406e-05,-81.4967,1.28771e-05,-75.238,1.20269e-05,-75.2167,1.2034e-05,-33.2534,8.31478e-08 ,3,0,8.80889,2,1,50373,81.0431,1.29406e-05,14.9898,1.27108e-05,-33.2534,-8.31477e-08,1,0.0015,0.0015,-106.054,106.054,0
2.03555e+06,1.5,-9.95452,0.000761001,-10.42,0.000757433,-9.54209,0.00070757,-9.48473,0.00070796,-33.8052,2.23871e-05 ,3,0,8.92548,2,16,51605,9.95452,0.000761001,-57.1903,0.000712659,-33.8052,-2.23871e-05,1,0.0015,0.0015,-22.8476,22.8476,0
1.86593e+06,1.5,-146.221,6.91367e-06,-146.595,6.87999e-06,-135.714,6.42385e-06,-135.759,6.42762e-06,-30.1812,3.24199e-08 ,3,0,9.48873,2,0,46861,146.221,6.91367e-06,86.2323,6.81515e-06,-30.1812,-3.24199e-08,1,0.0015,0.0015,-182.783,182.783,0
1.86593e+06,1.5,-9.22428,0.000758992,-9.65096,0.000755406,-8.8384,0.000705685,-8.78584,0.000706077,-30.9879,2.04804e-05 ,3,0,12.4899,2,16,51605,9.22428,0.000758992,-52.3249,0.000714445,-30.9879,-2.04804e-05,1,0.0015,0.0015,-21.0578,21.0578,0
1.86593e+06,1.5,-80.4145,1.29326e-05,-80.8292,1.2869e-05,-74.629,1.20194e-05,-74.6123,1.20264e-05,-30.4818,7.6182e-08 ,3,0,12.9187,2,1,50373,80.4145,1.29326e-05,19.8656,1.27167e-05,-30.4818,-7.6182e-08,1,0.0015,0.0015,-104.34,104.34,0
1.6963e+06,1.5,-145.654,6.91018e-06,-145.988,6.87647e-06,-135.162,6.42058e-06,-135.212,6.42435e-06,-27.4369,2.94611e-08 ,3,0,9.70403,2,0,46861,145.654,6.91018e-06,91.1146,6.81755e-06,-27.4369,-2.94611e-08,1,0.0015,0.0015,-181.115,181.115,0
1.6963e+06,1.5,-8.49407,0.000756985,-8.88197,0.00075338,-8.13473,0.000703803,-8.08697,0.000704197,-28.1707,1.85811e-05 ,3,0,11.7243,2,16,51605,8.49407,0.000756985,-47.4595,0.000716218,-28.1707,-1.85811e-05,1,0.0015,0.0015,-19.2679,19.2679,0
1.6963e+06,1.5,-79.786,1.29245e-05,-80.1619,1.28609e-05,-74.0201,1.20118e-05,-74.0081,1.20189e-05,-27.7103,6.92229e-08 ,3,0,11.9243,2,1,50373,79.786,1.29245e-05,24.7413,1.27224e-05,-27.7103,-6.92229e-08,1,0.0015,0.0015,-102.627,102.627,0
1.52667e+06,1.5,-145.087,6.9067e-06,-145.382,6.87297e-06,-134.611,6.41731e-06,-134.664,6.4211e-06,-24.6927,2.65045e-08 ,3,0,13.2097,2,0,46861,145.087,6.9067e-06,95.997,6.81995e-06,-24.6927,-2.65045e-08,1,0.0015,0.0015,-179.447,179.447,0
1.52667e+06,1.5,-79.1576,1.29165e-05,-79.4947,1.28528e-05,-73.4113,1.20043e-05,-73.4041,1.20114e-05,-24.9388,6.22705e-08 ,3,0,11.5426,2,1,50373,79.1576,1.29165e-05,29.617,1.27282e-05,-24.9388,-6.22705e-08,1,0.0015,0.0015,-100.914,100.914,0
1.52667e+06,1.5,-7.76389,0.000754979,-8.11302,0.000751356,-7.4311,0.000701921,-7.38813,0.000702318,-25.3536,1.66894e-05 ,3,0,12.8355,2,16,51605,7.76389,0.000754979,-42.5941,0.000717977,-25.3536,-1.66894e-05,1,0.0015,0.0015,-17.4781,17.4781,0
