current density,magnetic field,fx,fy,fxv2,fyv2,fx_safe,fy_safe,fxv2_safe,fyv2_safe,flaplacex,flaplacey,refinment,is_saturated,elapse_time_total,shapefunction_degree,size multiplicator ,number dof, fx_r,fy_r,fx_safe_r,fy_safe_r,flaplacex_r,flaplacey_r,is alternative current,size,size2,integral_force,integral_force2,is_periodic
-2.54444e+06,1.5,-131.529,6.8233e-06,-130.892,6.78892e-06,-121.418,6.33913e-06,-121.584,6.34299e-06,41.1334,-4.37566e-08 ,3,0,4.87188,2,0,46861,131.529,6.82327e-06,213.158,6.87641e-06,41.1334,4.37566e-08,1,0.0015,0.0015,-139.452,139.452,0
-2.54444e+06,1.5,-64.1205,1.27238e-05,-63.5249,1.26585e-05,-58.8408,1.18236e-05,-58.9473,1.18309e-05,41.5479,-1.02579e-07 ,3,0,5.26963,2,1,50373,64.1205,1.27238e-05,146.621,1.28637e-05,41.5479,1.02579e-07,1,0.0015,0.0015,-59.8154,59.8154,0
-2.54444e+06,1.5,9.7505,0.000707424,10.332,0.000703394,9.44687,0.00065733,9.37468,0.00065778,42.2519,-2.64692e-05 ,3,0,5.60503,2,16,51605,-9.7505,0.000707424,74.1718,0.000756332,42.2519,2.64692e-05,1,0.0015,0.0015,25.4719,-25.4719,0
-2.37481e+06,1.5,-64.7454,1.27318e-05,-64.1887,1.26666e-05,-59.4463,1.18311e-05,-59.5481,1.18384e-05,38.7787,-9.57877e-08 ,3,0,6.75881,2,1,50373,64.7454,1.27318e-05,141.746,1.28582e-05,38.7787,9.57877e-08,1,0.0015,0.0015,-61.527,61.527,0
-2.37481e+06,1.5,-132.092,6.82677e-06,-131.493,6.79242e-06,-121.966,6.34239e-06,-122.127,6.34625e-06,38.392,-4.08558e-08 ,3,0,7.54564,2,0,46861,132.092,6.82675e-06,208.277,6.87411e-06,38.392,4.08558e-08,1,0.0015,0.0015,-141.118,141.118,0
-2.37481e+06,1.5,9.02111,0.000709383,9.56384,0.000705369,8.74398,0.000659167,8.67658,0.000659615,39.4353,-2.47569e-05 ,3,0,8.05458,2,16,51605,-9.02111,0.000709383,69.3067,0.000754883,39.4353,2.47569e-05,1,0.0015,0.0015,23.6826,-23.6826,0
-2.20518e+06,1.5,-132.655,6.83025e-06,-132.095,6.79592e-06,-122.514,6.34564e-06,-122.67,6.3495e-06,35.6504,-3.79526e-08 ,3,0,8.74958,2,0,46861,132.655,6.83024e-06,203.396,6.87182e-06,35.6504,3.79526e-08,1,0.0015,0.0015,-142.783,142.783,0
-2.20518e+06,1.5,-65.3704,1.27398e-05,-64.8525,1.26747e-05,-60.052,1.18387e-05,-60.149,1.18459e-05,36.0094,-8.89892e-08 ,3,0,9.44136,2,1,50373,65.3704,1.27398e-05,136.871,1.28527e-05,36.0094,8.89892e-08,1,0.0015,0.0015,-63.2386,63.2386,0
-2.20518e+06,1.5,8.29169,0.000711345,8.79564,0.000707346,8.04105,0.000661006,7.97846,0.000661451,36.6186,-2.30372e-05 ,3,0,9.56042,2,16,51605,-8.29169,0.000711345,64.4416,0.00075342,36.6186,2.30372e-05,1,0.0015,0.0015,21.8932,-21.8932,0
-2.03555e+06,1.5,-65.9956,1.27478e-05,-65.5166,1.26828e-05,-60.6578,1.18462e-05,-60.7501,1.18534e-05,33.24,-8.21841e-08 ,3,0,6.51504,2,1,50373,65.9956,1.27478e-05,131.997,1.28471e-05,33.24,8.21841e-08,1,0.0015,0.0015,-64.9503,64.9503,0
-2.03555e+06,1.5,-133.218,6.83371e-06,-132.697,6.79941e-06,-123.062,6.34889e-06,-123.214,6.35274e-06,32.9088,-3.50471e-08 ,3,0,6.64694,2,0,46861,133.218,6.83371e-06,198.515,6.8695e-06,32.9088,3.50471e-08,1,0.0015,0.0015,-144.449,144.449,0
-2.03555e+06,1.5,7.56224,0.000713308,8.02741,0.000709325,7.3381,0.000662846,7.2803,0.000663289,33.8019,-2.131e-05 ,3,0,6.40306,2,16,51605,-7.56224,0.000713308,59.5765,0.000751945,33.8019,2.131e-05,1,0.0015,0.0015,20.1038,-20.1038,0
-1.86593e+06,1.5,-133.781,6.83716e-06,-133.299,6.80289e-06,-123.61,6.35212e-06,-123.757,6.35597e-06,30.1671,-3.21393e-08 ,3,0,5.07649,2,0,46861,133.781,6.83718e-06,193.633,6.86718e-06,30.1671,3.21393e-08,1,0.0015,0.0015,-146.114,146.114,0
-1.86593e+06,1.5,-66.6209,1.27558e-05,-66.1808,1.26909e-05,-61.2638,1.18537e-05,-61.3513,1.18609e-05,30.4705,-7.53722e-08 ,3,0,5.32252,2,1,50373,66.6209,1.27558e-05,127.122,1.28416e-05,30.4705,7.53722e-08,1,0.0015,0.0015,-66.6621,66.6621,0
-1.86593e+06,1.5,6.83275,0.000715273,7.25915,0.000711306,6.63511,0.000664688,6.58211,0.00066513,30.9852,-1.95753e-05 ,3,0,4.89844,2,16,51605,-6.83275,0.000715273,54.7113,0.000750457,30.9852,1.95753e-05,1,0.0015,0.0015,18.3143,-18.3143,0
-1.6963e+06,1.5,-134.345,6.84065e-06,-133.902,6.80641e-06,-124.158,6.35539e-06,-124.301,6.35924e-06,27.4252,-2.92291e-08 ,3,0,5.11664,2,0,46861,134.345,6.84064e-06,188.752,6.86486e-06,27.4252,2.92291e-08,1,0.0015,0.0015,-147.78,147.78,0
-1.6963e+06,1.5,-67.2464,1.27639e-05,-66.8451,1.2699e-05,-61.8699,1.18612e-05,-61.9527,1.18685e-05,27.7009,-6.85537e-08 ,3,0,5.38698,2,1,50373,67.2464,1.27639e-05,122.247,1.2836e-05,27.7009,6.85537e-08,1,0.0015,0.0015,-68.374,68.374,0
-1.6963e+06,1.5,6.10324,0.00071724,6.49085,0.00071329,5.93209,0.000666532,5.88389,0.000666971,28.1685,-1.78331e-05 ,3,0,6.76908,2,16,51605,-6.10324,0.00071724,49.8462,0.000748956,28.1685,1.78331e-05,1,0.0015,0.0015,16.5249,-16.5249,0
