current density,magnetic field,fx,fy,fxv2,fyv2,fx_safe,fy_safe,fxv2_safe,fyv2_safe,flaplacex,flaplacey,refinment,is_saturated,elapse_time_total,shapefunction_degree,size multiplicator ,number dof, fx_r,fy_r,fx_safe_r,fy_safe_r,flaplacex_r,flaplacey_r,is alternative current,size,size2,integral_force,integral_force2,is_periodic
0,0,0,0,0,0,0,0,0,0,0,0 ,3,0,1.16732,2,0,46861,0,0,0,0,0,0,0,0.0015,0.0015,0,0,0
2.54444e+06,1.5,-12.2065,9.01253e-05,-12.7883,9.33505e-05,-11.7095,8.58526e-05,-11.6377,8.54534e-05,-42.2519,0.000241766 ,3,0,5.28912,2,16,51605,-9.82647,0.00149445,-10.408,0.00148957,-42.257,0.000187138,0,0.0015,0.0015,-28.2917,-25.5547,0
2.54444e+06,1.5,-150.121,-0.000246162,-150.649,-0.00024437,-139.428,-0.00023209,-139.455,-0.000232198,-41.1328,1.94129e-05 ,3,0,5.34595,2,0,46861,129.819,0.000267594,129.182,0.000266288,-41.1603,1.93216e-05,0,0.0015,0.0015,-191.354,137.508,0
2.54444e+06,1.5,-83.9708,-0.00017614,-84.5408,-0.000174644,-78.0258,-0.000165139,-77.9906,-0.000165266,-41.5476,2.60696e-05 ,3,0,5.00085,2,1,50373,63.0156,0.000213112,62.4203,0.000212222,-41.5692,2.58595e-05,0,0.0015,0.0015,-112.411,58.5643,0
2.37481e+06,1.5,-149.447,-0.000229531,-149.936,-0.000227878,-138.777,-0.000216421,-138.809,-0.00021652,-38.3915,1.69134e-05 ,3,0,5.14464,2,0,46861,130.498,0.000249973,129.9,0.000248735,-38.4154,1.68286e-05,0,0.0015,0.0015,-189.561,139.304,0
2.37481e+06,1.5,-11.4725,0.000129813,-12.0156,0.000132387,-11.0024,0.000122487,-10.9354,0.000122165,-39.4352,0.000212304 ,3,0,5.91219,2,16,51605,-9.09155,0.00144052,-9.63428,0.00143553,-39.4397,0.000161319,0,0.0015,0.0015,-26.4971,-23.7596,0
2.37481e+06,1.5,-83.2743,-0.000163892,-83.8055,-0.000162522,-77.3542,-0.000153672,-77.3238,-0.000153787,-38.7784,2.27159e-05 ,3,0,5.79454,2,1,50373,63.7161,0.000199409,63.1597,0.000198551,-38.7972,2.25201e-05,0,0.0015,0.0015,-110.617,60.3604,0
2.20518e+06,1.5,-148.773,-0.000212866,-149.223,-0.00021135,-138.127,-0.000200719,-138.163,-0.000200809,-35.65,1.45862e-05 ,3,0,5.36185,2,0,46861,131.177,0.000232386,130.618,0.000231218,-35.6707,1.45078e-05,0,0.0015,0.0015,-187.767,141.101,0
2.20518e+06,1.5,-10.7386,0.000169993,-11.2428,0.000171942,-10.2953,0.000159595,-10.2331,0.000159346,-36.6186,0.000184749 ,3,0,5.01527,2,16,51605,-8.35667,0.00138707,-8.86062,0.001382,-36.6224,0.000137406,0,0.0015,0.0015,-24.7025,-21.9644,0
2.20518e+06,1.5,-82.5777,-0.000151593,-83.07,-0.000150347,-76.6825,-0.000142157,-76.6568,-0.000142261,-36.0092,1.9593e-05 ,3,0,5.11508,2,1,50373,64.4165,0.000185757,63.8989,0.000184934,-36.0254,1.94116e-05,0,0.0015,0.0015,-108.823,62.1564,0
2.03555e+06,1.5,-148.098,-0.000196168,-148.51,-0.000194785,-137.476,-0.000184985,-137.516,-0.000185066,-32.9084,1.24311e-05 ,3,0,6.53764,2,0,46861,131.856,0.000214834,131.336,0.000213738,-32.926,1.2359e-05,0,0.0015,0.0015,-185.974,142.897,0
2.03555e+06,1.5,-10.0046,0.000210663,-10.47,0.000212014,-9.5881,0.000197175,-9.53075,0.000196998,-33.8019,0.000159099 ,3,0,7.35251,2,16,51605,-7.62182,0.00133412,-8.08699,0.00132899,-33.8052,0.000115399,0,0.0015,0.0015,-22.9078,-20.1693,0
2.03555e+06,1.5,-81.881,-0.000139245,-82.3344,-0.000138119,-76.0107,-0.000130594,-75.9896,-0.000130687,-33.2398,1.67009e-05 ,3,0,7.79571,2,1,50373,65.1168,0.000172154,64.638,0.000171371,-33.2536,1.65337e-05,0,0.0015,0.0015,-107.029,63.9523,0
1.86593e+06,1.5,-147.424,-0.000179435,-147.796,-0.000178184,-136.825,-0.000169217,-136.87,-0.00016929,-30.1667,1.04482e-05 ,3,0,9.64493,2,0,46861,132.535,0.000197316,132.054,0.000196295,-30.1815,1.03824e-05,0,0.0015,0.0015,-184.18,144.693,0
1.86593e+06,1.5,-9.27051,0.000251824,-9.6972,0.000252603,-8.88091,0.00023523,-8.82836,0.00023512,-30.9852,0.000135357 ,3,0,10.3664,2,16,51605,-6.88701,0.00128166,-7.3134,0.00127649,-30.988,9.52985e-05,0,0.0015,0.0015,-21.1132,-18.3742,0
1.86593e+06,1.5,-81.1841,-0.000126846,-81.5987,-0.000125837,-75.3387,-0.000118982,-75.3223,-0.000119065,-30.4704,1.40396e-05 ,3,0,9.12444,2,1,50373,65.8169,0.000158602,65.3769,0.000157861,-30.482,1.38867e-05,0,0.0015,0.0015,-105.236,65.7481,0
1.6963e+06,1.5,-146.749,-0.000162668,-147.083,-0.000161546,-136.173,-0.000153417,-136.223,-0.000153481,-27.4249,8.63749e-06 ,3,0,9.15784,2,0,46861,133.214,0.000179833,132.771,0.000178889,-27.4372,8.57785e-06,0,0.0015,0.0015,-182.386,146.489,0
1.6963e+06,1.5,-80.487,-0.000114397,-80.8628,-0.000113503,-74.6666,-0.000107323,-74.6549,-0.000107395,-27.7008,1.16092e-05 ,3,0,8.42814,2,1,50373,66.5169,0.000145101,66.1158,0.000144404,-27.7104,1.14704e-05,0,0.0015,0.0015,-103.442,67.5438,0
1.6963e+06,1.5,-8.53642,0.000293477,-8.92434,0.000293709,-8.17369,0.000273758,-8.12594,0.000273712,-28.1685,0.00011352 ,3,0,9.54141,2,16,51605,-6.15223,0.00122969,-6.53984,0.00122452,-28.1708,7.7104e-05,0,0.0015,0.0015,-19.3185,-16.5791,0
1.52667e+06,1.5,-146.074,-0.000145867,-146.369,-0.000144872,-135.522,-0.000137584,-135.576,-0.00013764,-24.683,6.99897e-06 ,3,0,5.50385,2,0,46861,133.892,0.000162383,133.488,0.000161519,-24.6929,6.94546e-06,0,0.0015,0.0015,-180.593,148.285,0
1.52667e+06,1.5,-79.7899,-0.000101899,-80.1268,-0.000101115,-73.9943,-9.56143e-05,-73.9874,-9.5677e-05,-24.9312,9.40962e-06 ,3,0,5.88538,2,1,50373,67.2167,0.000131649,66.8544,0.000131001,-24.9389,9.28486e-06,0,0.0015,0.0015,-101.647,69.3395,0
1.52667e+06,1.5,-7.80231,0.00033562,-8.15145,0.000335333,-7.46644,0.000312759,-7.42349,0.000312774,-25.3517,9.35898e-05 ,3,0,7.537,2,16,51605,-5.41748,0.00117821,-5.76632,0.00117306,-25.3536,6.08157e-05,0,0.0015,0.0015,-17.5238,-14.7841,0
1.35704e+06,1.5,-145.398,-0.000129032,-145.655,-0.000128161,-134.87,-0.000121719,-134.929,-0.000121767,-21.9409,5.53263e-06 ,3,0,7.92693,2,0,46861,134.57,0.000144968,134.205,0.000144186,-21.9487,5.48519e-06,0,0.0015,0.0015,-178.799,150.08,0
1.35704e+06,1.5,-79.0925,-8.93498e-05,-79.3906,-8.8673e-05,-73.3219,-8.38577e-05,-73.3197,-8.39111e-05,-22.1614,7.44085e-06 ,3,0,7.24496,2,1,50373,67.9164,0.000118248,67.593,0.000117651,-22.1676,7.3301e-06,0,0.0015,0.0015,-99.8532,71.1351,0
1.35704e+06,1.5,-7.06816,0.000378255,-7.37852,0.000377474,-6.75916,0.000352233,-6.721,0.000352306,-22.535,7.55659e-05 ,3,0,5.75554,2,16,51605,-4.68276,0.00112722,-4.99283,0.00112212,-22.5364,4.64335e-05,0,0.0015,0.0015,-15.7291,-12.989,0
1.18741e+06,1.5,-144.723,-0.000112163,-144.94,-0.000111414,-134.219,-0.00010582,-134.282,-0.000105861,-19.1987,4.23846e-06 ,3,0,5.02609,2,0,46861,135.248,0.000127587,134.922,0.00012689,-19.2047,4.19705e-06,0,0.0015,0.0015,-177.004,151.876,0
1.18741e+06,1.5,-78.3951,-7.67509e-05,-78.6543,-7.61782e-05,-72.6494,-7.20528e-05,-72.6519,-7.20972e-05,-19.3916,5.7029e-06 ,3,0,6.31967,2,1,50373,68.616,0.000104896,68.3314,0.000104355,-19.3963,5.6061e-06,0,0.0015,0.0015,-98.0589,72.9306,0
1.18741e+06,1.5,-6.33398,0.000421381,-6.60556,0.000420133,-6.05185,0.000392181,-6.01849,0.000392309,-19.7182,5.94482e-05 ,3,0,5.78697,2,16,51605,-3.94808,0.00107673,-4.21937,0.0010717,-19.7193,3.39576e-05,0,0.0015,0.0015,-13.9343,-11.194,0
1.01778e+06,1.5,-144.047,-9.52599e-05,-144.226,-9.463e-05,-133.567,-8.9889e-05,-133.635,-8.99225e-05,-16.4564,3.11647e-06 ,3,0,7.71708,2,0,46861,135.926,0.00011024,135.639,0.00010963,-16.4608,3.08105e-06,0,0.0015,0.0015,-175.21,153.672,0
1.01778e+06,1.5,-77.6975,-6.4102e-05,-77.9179,-6.36301e-05,-71.9768,-6.01995e-05,-71.984,-6.02354e-05,-16.6216,4.19577e-06 ,3,0,9.4994,2,1,50373,69.3154,9.15956e-05,69.0696,9.11128e-05,-16.6251,4.11288e-06,0,0.0015,0.0015,-96.2646,74.726,0
1.01778e+06,1.5,-5.59976,0.000464998,-5.83257,0.000463309,-5.3445,0.000432603,-5.31594,0.000432781,-16.9014,4.52368e-05 ,3,0,11.5908,2,16,51605,-3.21343,0.00102672,-3.44594,0.00102179,-16.9022,2.33879e-05,0,0.0015,0.0015,-12.1396,-9.39901,0
848148,1.5,-143.372,-7.83226e-05,-143.511,-7.78095e-05,-132.915,-7.39249e-05,-132.987,-7.39514e-05,-13.714,2.16665e-06 ,3,0,8.74408,2,0,46861,136.604,9.29268e-05,136.356,9.24074e-05,-13.717,2.13719e-06,0,0.0015,0.0015,-173.416,155.467,0
848148,1.5,-76.9997,-5.14029e-05,-77.1813,-5.10285e-05,-71.304,-4.82978e-05,-71.3159,-4.83255e-05,-13.8516,2.91946e-06 ,3,0,8.00787,2,1,50373,70.0147,7.83449e-05,69.8078,7.79237e-05,-13.854,2.85044e-06,0,0.0015,0.0015,-94.4702,76.5213,0
848148,1.5,-4.86552,0.000509106,-5.05954,0.000507003,-4.63713,0.000473498,-4.61336,0.000473724,-14.0845,3.29317e-05 ,3,0,6.83104,2,16,51605,-2.47881,0.00097721,-2.67255,0.000972404,-14.0851,1.47243e-05,0,0.0015,0.0015,-10.3448,-7.60403,0
678518,1.5,-142.696,-6.13512e-05,-142.797,-6.09525e-05,-132.262,-5.7928e-05,-132.34,-5.79479e-05,-10.9714,1.389e-06 ,3,0,6.65715,2,0,46861,137.282,7.56482e-05,137.072,7.52209e-05,-10.9734,1.36546e-06,0,0.0015,0.0015,-171.622,157.263,0
678518,1.5,-76.3019,-3.86537e-05,-76.4446,-3.83736e-05,-70.6311,-3.63477e-05,-70.6478,-3.63677e-05,-11.0815,1.87396e-06 ,3,0,5.96913,2,1,50373,70.7138,6.51444e-05,70.5457,6.4788e-05,-11.083,1.81878e-06,0,0.0015,0.0015,-92.6756,78.3166,0
