current density,magnetic field,fx,fy,fxv2,fyv2,fx_safe,fy_safe,fxv2_safe,fyv2_safe,flaplacex,flaplacey,refinment,is_saturated,elapse_time_total,shapefunction_degree,size multiplicator ,number dof, fx_r,fy_r,fx_safe_r,fy_safe_r,flaplacex_r,flaplacey_r,is alternative current,size,size2,integral_force,integral_force2,is_periodic
2.54444e+06,1.5,-3.88913,-1.95383e-12,-4.4767,-2.04958e-12,-3.95795,-7.10384e-13,-3.89087,-6.94219e-13,-38.5786,-3.18241e-14 ,3,0,1.5126,2,0,16161,3.88913,-1.16585e-12,-72.6805,-1.14841e-12,-38.5786,-3.39089e-14,1,0.0015,0.0015,-22.245,22.245,1
2.54444e+06,1.5,-6.49275,5.1096e-12,-7.07911,5.14183e-12,-6.38943,3.48512e-12,-6.3198,3.5138e-12,-39.8916,-1.0965e-14 ,3,0,2.01092,2,1,19865,6.49275,5.26735e-12,-72.7042,5.19948e-12,-39.8916,-1.48567e-14,1,0.0015,0.0015,-23.9105,23.9105,1
2.54444e+06,1.5,-10.7743,4.71273e-11,-11.3563,4.92134e-11,-10.3877,4.66346e-11,-10.3158,4.63979e-11,-42.1515,1.46702e-10 ,3,0,2.67212,2,16,21605,10.7743,4.93494e-11,-72.9467,-2.41962e-10,-42.1515,-1.46678e-10,1,0.0015,0.0015,-26.7352,26.7352,1
2.37481e+06,1.5,-3.62986,2.46689e-12,-4.17826,2.28685e-12,-3.69409,3.6535e-12,-3.63148,3.54095e-12,-36.0067,-2.15777e-14 ,3,0,1.42011,2,0,16161,3.62986,-8.89919e-12,-67.8351,-9.02088e-12,-36.0067,-2.15199e-14,1,0.0015,0.0015,-20.762,20.762,1
2.37481e+06,1.5,-6.0599,-1.12122e-11,-6.60717,-1.11506e-11,-5.96347,-1.23233e-11,-5.89848,-1.22928e-11,-37.2322,8.01275e-15 ,3,0,1.42513,2,1,19865,6.0599,-3.68329e-12,-67.8572,-3.68196e-12,-37.2322,4.27099e-15,1,0.0015,0.0015,-22.3165,22.3165,1
2.20518e+06,1.5,-3.37059,-7.04185e-12,-3.87981,-7.03269e-12,-3.43023,-6.37039e-12,-3.37209,-6.34879e-12,-33.4348,-4.77835e-14 ,3,0,1.11478,2,0,16161,3.37059,-6.15129e-12,-62.9898,-6.37036e-12,-33.4348,-4.97307e-14,1,0.0015,0.0015,-19.279,19.279,1
2.20518e+06,1.5,-5.62705,-2.88687e-12,-6.13523,-2.86107e-12,-5.53751,-1.47911e-12,-5.47716,-1.46574e-12,-34.5728,5.74502e-15 ,3,0,1.42101,2,1,19865,5.62705,7.51035e-13,-63.0103,7.60999e-13,-34.5728,6.04591e-15,1,0.0015,0.0015,-20.7225,20.7225,1
2.37481e+06,1.5,-10.0561,3.12141e-11,-10.5992,3.30011e-11,-9.69522,3.10249e-11,-9.62808,3.08233e-11,-39.3414,1.27796e-10 ,3,0,2.44618,2,16,21605,10.0561,4.96912e-11,-68.0836,-2.04085e-10,-39.3414,-1.2777e-10,1,0.0015,0.0015,-24.9528,24.9528,1
2.03555e+06,1.5,-3.11132,-4.1481e-12,-3.58137,-4.19675e-12,-3.16636,-3.5317e-12,-3.1127,-3.47555e-12,-30.8629,-2.53253e-14 ,3,0,1.25604,2,0,16161,3.11132,-5.22332e-12,-58.1444,-5.38891e-12,-30.8629,-2.63055e-14,1,0.0015,0.0015,-17.796,17.796,1
2.03555e+06,1.5,-5.1942,-3.50694e-12,-5.66329,-3.44512e-12,-5.11155,-2.43935e-12,-5.05584,-2.42549e-12,-31.9133,-2.90003e-15 ,3,0,1.43448,2,1,19865,5.1942,-2.74461e-12,-58.1633,-2.90742e-12,-31.9133,-4.68412e-15,1,0.0015,0.0015,-19.1284,19.1284,1
1.86593e+06,1.5,-2.85204,5.16757e-12,-3.28292,5.02519e-12,-2.9025,4.13728e-12,-2.85331,4.05175e-12,-28.291,-9.82516e-15 ,3,0,1.52508,2,0,16161,2.85204,-8.21988e-12,-53.299,-8.23968e-12,-28.291,-1.12875e-14,1,0.0015,0.0015,-16.313,16.313,1
2.20518e+06,1.5,-9.33777,3.22936e-11,-9.8421,3.38417e-11,-9.00271,2.93186e-11,-8.94036,2.91332e-11,-36.5313,1.10183e-10 ,3,0,2.54564,2,16,21605,9.33777,5.05511e-11,-63.2205,-1.68272e-10,-36.5313,-1.10177e-10,1,0.0015,0.0015,-23.1705,23.1705,1
1.86593e+06,1.5,-4.76135,2.11237e-13,-5.19135,2.13995e-13,-4.68559,-8.00398e-13,-4.63452,-8.24285e-13,-29.2539,6.52565e-15 ,3,0,1.3686,2,1,19865,4.76135,1.12643e-12,-53.3164,1.00849e-12,-29.2539,3.98695e-15,1,0.0015,0.0015,-17.5344,17.5344,1
1.6963e+06,1.5,-2.59277,-4.88545e-12,-2.98448,-4.84607e-12,-2.63864,-4.12162e-12,-2.59392,-4.08402e-12,-25.7191,-2.56924e-14 ,3,0,1.60784,2,0,16161,2.59277,-9.69703e-12,-48.4537,-9.92002e-12,-25.7191,-2.75886e-14,1,0.0015,0.0015,-14.83,14.83,1
1.52667e+06,1.5,-2.33349,-4.87546e-12,-2.68603,-5.04844e-12,-2.37478,-2.71541e-12,-2.33453,-2.63615e-12,-23.1472,-2.06945e-14 ,3,0,2.01694,2,0,16161,2.33349,-7.90043e-12,-43.6083,-8.05276e-12,-23.1472,-2.02325e-14,1,0.0015,0.0015,-13.347,13.347,1
1.6963e+06,1.5,-4.32851,7.78711e-12,-4.71941,7.70928e-12,-4.25963,6.94689e-12,-4.2132,6.93479e-12,-26.5944,-3.4994e-14 ,3,0,3.41773,2,1,19865,4.32851,7.93543e-12,-48.4695,7.8049e-12,-26.5944,-3.97712e-14,1,0.0015,0.0015,-15.9403,15.9403,1
2.03555e+06,1.5,-8.61948,2.08902e-11,-9.08502,2.2174e-11,-8.31019,1.90748e-11,-8.25264,1.89128e-11,-33.7212,9.38907e-11 ,3,0,3.95919,2,16,21605,8.61948,3.27234e-11,-58.3573,-1.53739e-10,-33.7212,-9.3871e-11,1,0.0015,0.0015,-21.3881,21.3881,1
1.35704e+06,1.5,-2.07422,-4.80532e-12,-2.38758,-4.90137e-12,-2.11091,-4.78222e-12,-2.07514,-4.79301e-12,-20.5753,-2.4364e-14 ,3,0,1.87244,2,0,16161,2.07422,-6.17555e-12,-38.7629,-6.1386e-12,-20.5753,-2.56753e-14,1,0.0015,0.0015,-11.864,11.864,1
1.52667e+06,1.5,-3.89566,1.50893e-13,-4.24747,1.84706e-13,-3.83367,-4.07771e-13,-3.79188,-4.34354e-13,-23.935,-6.37417e-15 ,3,0,2.05299,2,1,19865,3.89566,2.54371e-12,-43.6225,2.44009e-12,-23.935,-8.76854e-15,1,0.0015,0.0015,-14.3463,14.3463,1
1.18741e+06,1.5,-1.81494,-6.34257e-12,-2.08914,-6.32483e-12,-1.84705,-4.80779e-12,-1.81575,-4.77229e-12,-18.0034,-1.96066e-14 ,3,0,1.12008,2,0,16161,1.81494,-1.53168e-11,-33.9176,-1.51985e-11,-18.0034,-1.96609e-14,1,0.0015,0.0015,-10.381,10.381,1
1.86593e+06,1.5,-7.90119,2.35821e-11,-8.32793,2.4701e-11,-7.61767,2.29578e-11,-7.56492,2.28503e-11,-30.9111,7.88825e-11 ,3,0,2.59471,2,16,21605,7.90119,4.82129e-11,-53.4942,-1.08471e-10,-30.9111,-7.88898e-11,1,0.0015,0.0015,-19.6058,19.6058,1
1.35704e+06,1.5,-3.46281,-5.20801e-12,-3.77553,-5.24397e-12,-3.4077,-4.5552e-12,-3.37056,-4.55385e-12,-21.2755,-8.66001e-15 ,3,0,1.37607,2,1,19865,3.46281,1.24899e-11,-38.7756,1.23045e-11,-21.2755,-9.94234e-15,1,0.0015,0.0015,-12.7523,12.7523,1
1.01778e+06,1.5,-1.55566,-2.8453e-12,-1.79069,-2.91934e-12,-1.58319,-2.87017e-12,-1.55636,-2.94421e-12,-15.4314,-1.76976e-14 ,3,0,1.79878,2,0,16161,1.55566,-5.71016e-12,-29.0722,-5.85566e-12,-15.4314,-1.9185e-14,1,0.0015,0.0015,-8.89798,8.89798,1
1.18741e+06,1.5,-3.02996,-2.55261e-12,-3.30359,-2.56252e-12,-2.98174,-2.83505e-12,-2.94924,-2.80055e-12,-18.6161,2.75238e-16 ,3,0,1.90412,2,1,19865,3.02996,-1.72367e-12,-33.9286,-1.6966e-12,-18.6161,-3.33586e-15,1,0.0015,0.0015,-11.1582,11.1582,1
1.6963e+06,1.5,-7.1829,5.19301e-12,-7.57085,6.10731e-12,-6.92516,5.46524e-12,-6.8772,5.36529e-12,-28.101,6.52035e-11 ,3,0,2.72877,2,16,21605,7.1829,3.16053e-11,-48.6311,-9.78938e-11,-28.101,-6.51905e-11,1,0.0015,0.0015,-17.8234,17.8234,1
848148,1.5,-1.29639,-3.92778e-12,-1.49224,-3.88926e-12,-1.31932,-3.22079e-12,-1.29696,-3.23556e-12,-12.8595,-4.18173e-15 ,3,0,1.24887,2,0,16161,1.29639,-7.53755e-12,-24.2268,-7.57443e-12,-12.8595,-5.91874e-15,1,0.0015,0.0015,-7.41499,7.41499,1
1.01778e+06,1.5,-2.59711,7.92301e-12,-2.83165,7.92758e-12,-2.55578,7.788e-12,-2.52792,7.7535e-12,-15.9567,-1.09395e-14 ,3,0,1.85592,2,1,19865,2.59711,8.075e-12,-29.0817,7.97339e-12,-15.9567,-1.27093e-14,1,0.0015,0.0015,-9.56421,9.56421,1
678518,1.5,-1.03711,1.86726e-12,-1.19379,1.76427e-12,-1.05546,1.51198e-12,-1.03757,1.38413e-12,-10.2876,-7.48043e-15 ,3,0,1.82811,2,0,16161,1.03711,-9.26818e-12,-19.3815,-9.3486e-12,-10.2876,-7.64018e-15,1,0.0015,0.0015,-5.93199,5.93199,1
1.52667e+06,1.5,-6.46461,1.3142e-11,-6.81376,1.38684e-11,-6.23264,1.22493e-11,-6.18948,1.21508e-11,-25.2909,5.28099e-11 ,3,0,2.73781,2,16,21605,6.46461,3.78776e-11,-43.768,-6.70117e-11,-25.2909,-5.28071e-11,1,0.0015,0.0015,-16.0411,16.0411,1
508889,1.5,-0.777832,3.0644e-12,-0.895346,2.87333e-12,-0.791593,3.08572e-12,-0.778178,2.97991e-12,-7.71572,-1.16718e-14 ,3,0,1.12848,2,0,16161,0.777832,-9.82617e-12,-14.5361,-9.92822e-12,-7.71572,-1.17987e-14,1,0.0015,0.0015,-4.44899,4.44899,1
848148,1.5,-2.16425,3.85205e-12,-2.35971,3.94257e-12,-2.12981,1.9851e-12,-2.1066,1.9797e-12,-13.2972,-4.95411e-15 ,3,0,1.59369,2,1,19865,2.16425,-6.01466e-12,-24.2347,-6.01988e-12,-13.2972,-6.89979e-15,1,0.0015,0.0015,-7.97017,7.97017,1
339259,1.5,-0.518555,-4.17305e-12,-0.596897,-4.16956e-12,-0.527729,-4.1766e-12,-0.518786,-4.14646e-12,-5.14382,-4.22284e-15 ,3,0,2.012,2,0,16161,0.518555,-9.8333e-12,-9.69073,-9.97163e-12,-5.14382,-4.50126e-15,1,0.0015,0.0015,-2.96599,2.96599,1
678518,1.5,-1.7314,6.10516e-12,-1.88777,6.04386e-12,-1.70385,5.16547e-12,-1.68528,5.16989e-12,-10.6378,-8.79621e-15 ,3,0,2.38601,2,1,19865,1.7314,-2.50825e-12,-19.3878,-2.5672e-12,-10.6378,-9.57832e-15,1,0.0015,0.0015,-6.37614,6.37614,1
1.35704e+06,1.5,-5.74632,9.67424e-12,-6.05668,1.02753e-11,-5.54013,1.00855e-11,-5.50176,1.00142e-11,-22.4808,4.17294e-11 ,3,0,2.99822,2,16,21605,5.74632,2.6954e-11,-38.9049,-5.59655e-11,-22.4808,-4.1724e-11,1,0.0015,0.0015,-14.2588,14.2588,1
169630,1.5,-0.259277,6.05555e-12,-0.298449,6.15142e-12,-0.263864,6.63642e-12,-0.259393,6.61327e-12,-2.57191,-1.74965e-15 ,3,0,1.19118,2,0,16161,0.259277,-7.69546e-12,-4.84537,-7.83625e-12,-2.57191,-1.92519e-15,1,0.0015,0.0015,-1.483,1.483,1
508889,1.5,-1.29855,-1.04829e-12,-1.41582,-1.06253e-12,-1.27789,-2.94278e-12,-1.26396,-2.94813e-12,-7.97833,-5.04103e-15 ,3,0,1.66955,2,1,19865,1.29855,3.58496e-12,-14.5408,3.4628e-12,-7.97833,-5.93758e-15,1,0.0015,0.0015,-4.7821,4.7821,1
0,1.5,-8.33715e-13,-3.01132e-12,-9.23022e-12,-2.94603e-12,1.06699e-12,-3.56555e-12,-5.62688e-12,-3.65479e-12,0,0 ,3,0,1.70163,2,0,16161,-1.98268e-12,-1.22966e-11,-2.27082e-12,-1.23651e-11,0,0,1,0.0015,0.0015,2.84217e-13,2.55795e-12,1
1.18741e+06,1.5,-5.02803,2.60477e-12,-5.2996,3.08417e-12,-4.84761,3.89318e-12,-4.81404,3.83362e-12,-19.6707,3.19459e-11 ,3,0,4.06254,2,16,21605,5.02803,3.27284e-11,-34.0418,-3.0736e-11,-19.6707,-3.19467e-11,1,0.0015,0.0015,-12.4764,12.4764,1
339259,1.5,-0.865702,-6.96723e-12,-0.943883,-6.9521e-12,-0.851926,-7.41309e-12,-0.842642,-7.40862e-12,-5.31889,-7.24027e-15 ,3,0,2.61409,2,1,19865,0.865702,-8.21074e-12,-9.69389,-8.17735e-12,-5.31889,-7.99175e-15,1,0.0015,0.0015,-3.18807,3.18807,1
2.54444e+06,1.4,-0.369625,-1.61264e-12,-0.960934,-1.70808e-12,-0.65294,-2.03719e-12,-0.586967,-2.05624e-12,-36.408,4.80157e-14 ,3,0,2.46513,2,0,16161,0.369625,-5.77605e-12,-71.8551,-5.84106e-12,-36.408,4.6075e-14,1,0.0015,0.0015,-20.5955,20.5955,1
169630,1.5,-0.432851,5.39674e-12,-0.471942,5.44855e-12,-0.425963,4.34158e-12,-0.421321,4.33833e-12,-2.65944,-1.70825e-15 ,3,0,2.04163,2,1,19865,0.432851,-5.44564e-12,-4.84695,-5.44109e-12,-2.65944,-1.75691e-15,1,0.0015,0.0015,-1.59403,1.59403,1
