current density,magnetic field,fx,fy,fxv2,fyv2,fx_safe,fy_safe,fxv2_safe,fyv2_safe,flaplacex,flaplacey,refinment,is_saturated,elapse_time_total,shapefunction_degree,size multiplicator ,number dof, fx_r,fy_r,fx_safe_r,fy_safe_r,flaplacex_r,flaplacey_r,is alternative current,size,size2,integral_force,integral_force2,is_periodic
0,0,0,0,0,0,0,0,0,0,0,0 ,3,0,0.233483,2,0,16161,0,0,0,0,0,0,0,0.0015,0.0015,0,0,1
2.54444e+06,1.5,-7.96703,0.00196107,-8.5523,0.00294668,-7.72337,0.00197636,-7.65856,0.00187498,-38.5786,0.0622689 ,3,0,1.64469,2,0,16161,-7.96703,0.00196107,-8.5523,0.00294668,-38.5786,0.0622689,0,0.0015,0.0015,-26.9222,-26.9222,1
2.54444e+06,1.5,-9.11829,0.00506557,-9.70396,0.00577723,-8.8107,0.00499574,-8.74205,0.00491488,-39.8916,0.0468203 ,3,0,1.81672,2,1,19865,-9.11829,0.00506557,-9.70396,0.00577723,-39.8916,0.0468203,0,0.0015,0.0015,-26.9223,-26.9223,1
2.54444e+06,1.5,-10.9392,0.00268142,-11.5212,0.00282914,-10.5396,0.00258635,-10.4677,0.0025681,-42.1515,0.0106682 ,3,0,2.2391,2,16,21605,-10.9392,0.00268142,-11.5212,0.00282914,-42.1515,0.0106682,0,0.0015,0.0015,-26.9243,-26.9243,1
2.37481e+06,1.5,-7.43589,0.00170829,-7.98214,0.00256686,-7.20847,0.00172161,-7.14798,0.00163329,-36.0067,0.0542431 ,3,0,1.61944,2,0,16161,-7.43589,0.00170829,-7.98214,0.00256686,-36.0067,0.0542431,0,0.0015,0.0015,-25.1274,-25.1274,1
2.37481e+06,1.5,-8.5104,0.00441266,-9.05703,0.0050326,-8.22331,0.00435184,-8.15924,0.0042814,-37.2322,0.0407857 ,3,0,1.70056,2,1,19865,-8.5104,0.00441266,-9.05703,0.0050326,-37.2322,0.0407857,0,0.0015,0.0015,-25.1274,-25.1274,1
2.37481e+06,1.5,-10.2099,0.00233581,-10.7531,0.0024645,-9.83696,0.00225299,-9.76984,0.0022371,-39.3414,0.00929315 ,3,0,2.85393,2,16,21605,-10.2099,0.00233581,-10.7531,0.0024645,-39.3414,0.00929315,0,0.0015,0.0015,-25.1294,-25.1294,1
2.20518e+06,1.5,-6.90475,0.00147294,-7.41198,0.00221325,-6.69357,0.00148443,-6.6374,0.00140828,-33.4348,0.0467709 ,3,0,2.13749,2,0,16161,-6.90475,0.00147294,-7.41198,0.00221325,-33.4348,0.0467709,0,0.0015,0.0015,-23.3326,-23.3326,1
2.20518e+06,1.5,-7.90251,0.00380479,-8.41009,0.00433933,-7.63593,0.00375234,-7.57644,0.00369161,-34.5728,0.0351672 ,3,0,2.34177,2,1,19865,-7.90251,0.00380479,-8.41009,0.00433933,-34.5728,0.0351672,0,0.0015,0.0015,-23.3326,-23.3326,1
2.03555e+06,1.5,-6.3736,0.00125504,-6.84182,0.00188583,-6.17867,0.00126482,-6.12683,0.00119994,-30.8629,0.0398521 ,3,0,1.2391,2,0,16161,-6.3736,0.00125504,-6.84182,0.00188583,-30.8629,0.0398521,0,0.0015,0.0015,-21.5378,-21.5378,1
2.20518e+06,1.5,-9.48066,0.00201404,-9.985,0.002125,-9.13432,0.00194263,-9.072,0.00192893,-36.5313,0.00801297 ,3,0,2.58617,2,16,21605,-9.48066,0.00201404,-9.985,0.002125,-36.5313,0.00801297,0,0.0015,0.0015,-23.3344,-23.3344,1
2.03555e+06,1.5,-7.29462,0.00324194,-7.76316,0.00369741,-7.04855,0.00319725,-6.99363,0.00314551,-31.9133,0.029965 ,3,0,1.68249,2,1,19865,-7.29462,0.00324194,-7.76316,0.00369741,-31.9133,0.029965,0,0.0015,0.0015,-21.5378,-21.5378,1
1.86593e+06,1.5,-5.84246,0.00105457,-6.27166,0.00158461,-5.66378,0.00106279,-5.61625,0.00100827,-28.291,0.0334868 ,3,0,1.33563,2,0,16161,-5.84246,0.00105457,-6.27166,0.00158461,-28.291,0.0334868,0,0.0015,0.0015,-19.7429,-19.7429,1
1.6963e+06,1.5,-5.31133,0.000871535,-5.7015,0.00130958,-5.14888,0.000878329,-5.10568,0.000833271,-25.7191,0.0276751 ,3,0,1.38542,2,0,16161,-5.31133,0.000871535,-5.7015,0.00130958,-25.7191,0.0276751,0,0.0015,0.0015,-17.9481,-17.9481,1
1.86593e+06,1.5,-6.68674,0.00272413,-7.11623,0.00310685,-6.46116,0.00268658,-6.41082,0.00264309,-29.2539,0.0251789 ,3,0,1.94515,2,1,19865,-6.68674,0.00272413,-7.11623,0.00310685,-29.2539,0.0251789,0,0.0015,0.0015,-19.743,-19.743,1
2.03555e+06,1.5,-8.75138,0.00171611,-9.21693,0.00181065,-8.43168,0.00165526,-8.37415,0.00164358,-33.7212,0.00682762 ,3,0,2.66905,2,16,21605,-8.75138,0.00171611,-9.21693,0.00181065,-33.7212,0.00682762,0,0.0015,0.0015,-21.5395,-21.5395,1
1.52667e+06,1.5,-4.78019,0.000705937,-5.13135,0.00106076,-4.63399,0.00071144,-4.59511,0.000674943,-23.1472,0.0224168 ,3,0,1.46441,2,0,16161,-4.78019,0.000705937,-5.13135,0.00106076,-23.1472,0.0224168,0,0.0015,0.0015,-16.1533,-16.1533,1
1.6963e+06,1.5,-6.07885,0.00225134,-6.46929,0.00256764,-5.87378,0.00222031,-5.82802,0.00218437,-26.5944,0.020809 ,3,0,1.70202,2,1,19865,-6.07885,0.00225134,-6.46929,0.00256764,-26.5944,0.020809,0,0.0015,0.0015,-17.9482,-17.9482,1
1.35704e+06,1.5,-4.24905,0.000557773,-4.5612,0.000838124,-4.1191,0.000562121,-4.08454,0.000533284,-20.5753,0.0177121 ,3,0,1.3911,2,0,16161,-4.24905,0.000557773,-4.5612,0.000838124,-20.5753,0.0177121,0,0.0015,0.0015,-14.3585,-14.3585,1
1.86593e+06,1.5,-8.0221,0.00144201,-8.44885,0.00152145,-7.72904,0.00139088,-7.6763,0.00138107,-30.9111,0.0057371 ,3,0,2.4137,2,16,21605,-8.0221,0.00144201,-8.44885,0.00152145,-30.9111,0.0057371,0,0.0015,0.0015,-19.7445,-19.7445,1
1.18741e+06,1.5,-3.71792,0.000427041,-3.99104,0.000641686,-3.60421,0.000430371,-3.57397,0.000408292,-18.0034,0.0135608 ,3,0,1.13444,2,0,16161,-3.71792,0.000427041,-3.99104,0.000641686,-18.0034,0.0135608,0,0.0015,0.0015,-12.5637,-12.5637,1
1.52667e+06,1.5,-5.47096,0.00182358,-5.82236,0.00207978,-5.2864,0.00179845,-5.24522,0.00176934,-23.935,0.0168553 ,3,0,1.99992,2,1,19865,-5.47096,0.00182358,-5.82236,0.00207978,-23.935,0.0168553,0,0.0015,0.0015,-16.1534,-16.1534,1
1.01778e+06,1.5,-3.18679,0.000313743,-3.42089,0.000471441,-3.08932,0.000316189,-3.0634,0.000299968,-15.4314,0.00996303 ,3,0,1.83293,2,0,16161,-3.18679,0.000313743,-3.42089,0.000471441,-15.4314,0.00996303,0,0.0015,0.0015,-10.7689,-10.7689,1
1.6963e+06,1.5,-7.29282,0.00119174,-7.68077,0.0012574,-7.0264,0.00114949,-6.97846,0.00114138,-28.101,0.0047414 ,3,0,2.76202,2,16,21605,-7.29282,0.00119174,-7.68077,0.0012574,-28.101,0.0047414,0,0.0015,0.0015,-17.9495,-17.9495,1
1.35704e+06,1.5,-4.86308,0.00144086,-5.17543,0.00164328,-4.69902,0.00142099,-4.66241,0.00139799,-21.2755,0.0133178 ,3,0,2.08202,2,1,19865,-4.86308,0.00144086,-5.17543,0.00164328,-21.2755,0.0133178,0,0.0015,0.0015,-14.3585,-14.3585,1
848148,1.5,-2.65565,0.000217876,-2.85074,0.000327388,-2.57443,0.000219574,-2.55283,0.00020831,-12.8595,0.00691877 ,3,0,1.33098,2,0,16161,-2.65565,0.000217876,-2.85074,0.000327388,-12.8595,0.00691877,0,0.0015,0.0015,-8.97406,-8.97406,1
